tweetid,userid,date,time,text,latitude,longitude,category,
945263923875536897,1916714858,2017-12-25,12:04:16,b'RT @ProRail: Vuurwerk naar treinen gegooid. Volkomen idiote actie. Machinist is zo geschrokken dat hij op Amsterdam Centraal is opgevangen.',52.378234,4.898493,violence,
945753019693588480,303638785,2017-12-26,20:27:45,b'Wordt weer goed gehandhaafd....NOT @AmsterdamNL @StadsdeelZuid @Politie_Adam #vuurwerk #buitenveldert #ofishetal31december',52.330426,4.857204,enforcement,
945303333148950528,279103486,2017-12-28,10:38:52,Waarom mag je bij #kinderboerderij #Zwanenburg wel vuurwerk afsteken? Daar zou ook gewoon een verbod moeten zijn! https://t.co/pWvW0dYvat,52.371985,4.745766,animals,
946405421228744704,20601516,2017-12-28,15:40:10,b'@RonaldaMath Op oudejaarsavond is combi van vuurwerk alcohol en glas voor vele niet  de ideale avond om in de stad te fietsen',52.37319,4.89329,general,
946424781087354880,271083754,2017-12-28,16:57:06,#Vuurwerk #feestelijk? #Niet #voor #vogels! https://t.co/S9uRcjdDcs,52.345034,4.893334,animals,
946427290782543872,186899860,2017-12-28,17:07:04,b'Stigmabase | NL Eerste goede voornemen voor 2018: stoppen met vuurwerk - De verkoop van vuurwerk is donderdag of https://t.co/1q5WSFTB9R',52.39398971,4.88725586,general,
946658194578911232,40807437,2017-12-29,08:24:36,"b""Het is toch van de zotte! Zo'n gezellige Hollandse traditie dat vuurwerk... https://t.co/FjpedNlHWt",52.39398967,4.88725579,general,
946828418678738944,74758663,2017-12-29,19:41:00,"Vuurwerk in haar wijk waar ik ben opgegroeid https://t.co/tzxoATq7fS",52.3576,4.9319,general,
946832635338338304,16245647,2017-12-29,19:57:46,"Vuurwerk vuurwerk....de hele avond vuurwerk. Maar dan is het met oud&nieuw toch helemaal niet leuk meer bro",52.392919,4.918461,general,
946871578029182978,138150041,2017-12-29,22:32:30,b'BOEM #nieuwendamnoord #waterlandpleinbuurt #vuurwerk',52.393285,4.954331,other,
946992358637408257,814388574770655232,2017-12-30,06:32:27,b'Hier knalt het ook en mijn poes wilde mij vannacht mee laten delen hij durfde niet het luikje uit rammelde er voort https://t.co/Z23Ycyf43e',52.353385,4.827264,animals,
947001067253809152,186899860,2017-12-30,07:07:03,b'Recap | NL Eerste goede voornemen voor 2018: stoppen met vuurwerk - De verkoop van vuurwerk is donderdag offic https://t.co/7da7phtCJq',52.39398971,4.88725586,general,
947029474679259136,1166383453,2017-12-30,08:59:56,b'Emmen #eurlings #top2000 #rtl7darts #ikeaseks Black Mirror #vuurwerk Kjeld Nuis Paul Scheffer A https://t.co/XOukuLWaZN',52.3731,4.8932,other,
947071369879179265,176746553,2017-12-30,11:46:24,"b'#vuurwerk opruimen met mij in het #Westerpark (@020West)of gewoon in je eigen buurt:\n\nhttps://t.co/7FEzyZ5p40'",52.387875,4.875228,waste,
947084808437542913,197885494,2017-12-30,12:39:48,"b'@AT5 Verschrikkelijk! Er gebeurt elk jaar ongelukken veel jongeren zijn roekeloos met vuurwerk daarom moet het verboden worden https://t.co/ACGxtZrh8I'",52.365544,4.894402,accident,
947117910543208449,95873046,2017-12-30,14:51:21,"@Lotteloves_ haken top2000 kijken en mijn hond geruststellen. Veel vuurwerk hier! Nu mag hij voor een keerje op de bank :)",52.3911242,5.2676197,animals,
947151583342678021,239135593,2017-12-30,17:05:09,"b""No haircut this year anymore though here for the fireworks (@ Marco's Hair & Beauty in Amsterdam,NH) https://t.co/xixKt9H076"",52.3543292,4.9975133,other,
947156746262466561,2965802452,2017-12-30,17:25:40,"b'Vanaf wanneer mag men vuurwerk afsteken want in de Rivierenbuurt knalt het behoorlijk.'",52.345877,4.898860,general,
947174512335970305,2668711611,2017-12-30,18:36:16,b'Na aanleding van het vreselijke ongeluk met vuurwerk (Een kind is zijn vader kwijt) steekt nu niemand meer illegaal https://t.co/LTUr4PN8hk',52.392475,4.890518,accident,
947117910543208449,95873046,2017-12-30,18:50:11,Veel wind morgen avond/nacht. Zorg dat je raam dicht staat!! #vuurwerk #vuurpijl #oudnieuw',52.3911242,5.2676197,general,
947195504265396224,76391845,2017-12-30,19:59:40,"b'Leuk hoor vuurwerk dol op. Maar mag dat morgen?! Beetje meer handhaving beste @Politie_Adam ?\n#IJburg'",52.351643,5.003614,enforcement,
947200362074787841,3370838825,2017-12-30,20:18:59,b'#aso020 wordt steeds asocialer naarmate hahahandhaving een lachertje is https://t.co/QZtmzzJiGG',52.3939896,4.8872559,enforcement,
947206377893781504,703179062,2017-12-30,20:42:53,Toch leuk dat ik nu al oorpijn heb van al die vuurwerk knallen',52.3733,4.8934,noisenuisance,
